,created_at,temperature,humidity,rolling_temp
76,2026-04-26T19:00:00.000,22.2,44,22.860000000000003
77,2026-04-26T19:00:00.000,22.2,44,22.639999999999997
83,2026-04-26T20:00:00.000,21.3,49,22.2
82,2026-04-26T20:00:00.000,21.3,49,21.84
81,2026-04-26T20:00:00.000,21.3,49,21.66
80,2026-04-26T20:00:00.000,21.8,48,21.58
84,2026-04-26T21:00:00.000,20.7,54,21.28
85,2026-04-26T21:00:00.000,20.7,54,21.16
86,2026-04-26T21:00:00.000,20.7,54,21.04
87,2026-04-26T21:00:00.000,21.1,53,21
90,2026-04-26T22:00:00.000,20.2,55,20.68
91,2026-04-26T22:00:00.000,20.2,55,20.580000000000002
88,2026-04-26T22:00:00.000,20.2,55,20.479999999999997
89,2026-04-26T22:00:00.000,20.5,56,20.439999999999998
92,2026-04-26T23:00:00.000,19.6,59,20.14
93,2026-04-26T23:00:00.000,19.8,59,20.06
94,2026-04-26T23:00:00.000,19.6,59,19.939999999999998
95,2026-04-26T23:00:00.000,19.6,59,19.82
96,2026-04-27T00:00:00.000,19,65,19.520000000000003
97,2026-04-27T00:00:00.000,18.8,65,19.36
98,2026-04-27T00:00:00.000,18.8,65,19.160000000000004
99,2026-04-27T00:00:00.000,18.8,65,19.000000000000004
103,2026-04-27T01:00:00.000,18,71,18.68
101,2026-04-27T01:00:00.000,18,71,18.48
100,2026-04-27T01:00:00.000,18.2,71,18.360000000000003
102,2026-04-27T01:00:00.000,18,71,18.2
104,2026-04-27T02:00:00.000,17.5,74,17.939999999999998
105,2026-04-27T02:00:00.000,17.5,74,17.839999999999996
106,2026-04-27T02:00:00.000,17.5,74,17.74
107,2026-04-27T02:00:00.000,17.6,74,17.62
111,2026-04-27T03:00:00.000,17.1,76,17.439999999999998
108,2026-04-27T03:00:00.000,17.4,75,17.419999999999998
109,2026-04-27T03:00:00.000,17.1,76,17.339999999999996
110,2026-04-27T03:00:00.000,17.1,76,17.259999999999998
112,2026-04-27T04:00:00.000,17.3,75,17.2
113,2026-04-27T04:00:00.000,17.1,77,17.200000000000003
114,2026-04-27T04:00:00.000,17.1,77,17.14
115,2026-04-27T04:00:00.000,17.1,77,17.14
117,2026-04-27T05:00:00.000,17.9,73,17.3
118,2026-04-27T05:00:00.000,18.1,72,17.46
116,2026-04-27T05:00:00.000,17.9,73,17.619999999999997
119,2026-04-27T05:00:00.000,17.9,73,17.78
123,2026-04-27T06:00:00.000,19,66,18.16
122,2026-04-27T06:00:00.000,19,66,18.380000000000003
121,2026-04-27T06:00:00.000,19.3,66,18.619999999999997
120,2026-04-27T06:00:00.000,19,66,18.84
124,2026-04-27T07:00:00.000,20.5,57,19.36
125,2026-04-27T07:00:00.000,20.5,57,19.66
126,2026-04-27T07:00:00.000,20.5,57,19.96
127,2026-04-27T07:00:00.000,20.6,57,20.22
128,2026-04-27T08:00:00.000,22.3,50,20.880000000000003
129,2026-04-27T08:00:00.000,22.2,50,21.22
130,2026-04-27T08:00:00.000,22.2,50,21.56
131,2026-04-27T08:00:00.000,22.2,50,21.9
135,2026-04-27T09:00:00.000,23.6,42,22.5
134,2026-04-27T09:00:00.000,23.6,42,22.759999999999998
132,2026-04-27T09:00:00.000,23.6,42,23.04
133,2026-04-27T09:00:00.000,23.8,42,23.360000000000003
136,2026-04-27T10:00:00.000,25.3,36,23.98
137,2026-04-27T10:00:00.000,24.9,37,24.240000000000002
138,2026-04-27T10:00:00.000,24.9,37,24.5
139,2026-04-27T10:00:00.000,24.9,37,24.76
143,2026-04-27T11:00:00.000,25.8,33,25.16
142,2026-04-27T11:00:00.000,25.8,33,25.259999999999998
141,2026-04-27T11:00:00.000,25.8,33,25.44
140,2026-04-27T11:00:00.000,26.1,33,25.68
144,2026-04-27T12:00:00.000,26.5,33,26
145,2026-04-27T12:00:00.000,26.5,33,26.139999999999997
146,2026-04-27T12:00:00.000,26.5,33,26.28
147,2026-04-27T12:00:00.000,27,30,26.52
150,2026-04-27T13:00:00.000,27.1,30,26.72
151,2026-04-27T13:00:00.000,27.1,30,26.839999999999996
148,2026-04-27T13:00:00.000,28,26,27.139999999999997
149,2026-04-27T13:00:00.000,27.1,30,27.26
152,2026-04-27T14:00:00.000,27.9,27,27.439999999999998
153,2026-04-27T14:00:00.000,27.2,30,27.46
154,2026-04-27T14:00:00.000,27.2,30,27.48
155,2026-04-27T14:00:00.000,27.2,30,27.32
159,2026-04-27T15:00:00.000,26.6,29,27.22
156,2026-04-27T15:00:00.000,26.6,29,26.96
157,2026-04-27T15:00:00.000,26.8,32,26.880000000000003
158,2026-04-27T15:00:00.000,26.6,29,26.76
162,2026-04-27T16:00:00.000,25.2,38,26.360000000000003
163,2026-04-27T16:00:00.000,25.2,38,26.080000000000002
160,2026-04-27T16:00:00.000,25.2,38,25.8
161,2026-04-27T16:00:00.000,25.7,32,25.580000000000002
167,2026-04-27T17:00:00.000,23.6,47,24.979999999999997
166,2026-04-27T17:00:00.000,23.6,47,24.66
165,2026-04-27T17:00:00.000,23.8,47,24.380000000000003
164,2026-04-27T17:00:00.000,23.6,47,24.060000000000002
168,2026-04-27T18:00:00.000,22.2,55,23.36
169,2026-04-27T18:00:00.000,22.2,55,23.080000000000002
170,2026-04-27T18:00:00.000,22.5,54,22.86
171,2026-04-27T18:00:00.000,22.2,55,22.54
174,2026-04-27T19:00:00.000,20.8,63,21.979999999999997
175,2026-04-27T19:00:00.000,20.8,63,21.7
172,2026-04-27T19:00:00.000,20.8,63,21.419999999999998
173,2026-04-27T19:00:00.000,21.2,64,21.16
176,2026-04-27T20:00:00.000,20.1,66,20.740000000000002
177,2026-04-27T20:00:00.000,19.6,69,20.5
178,2026-04-27T20:00:00.000,19.6,69,20.26
179,2026-04-27T20:00:00.000,19.6,69,20.02
180,2026-04-27T21:00:00.000,18.7,74,19.520000000000003
181,2026-04-27T21:00:00.000,18.7,74,19.240000000000002
182,2026-04-27T21:00:00.000,18.7,74,19.060000000000002
183,2026-04-27T21:00:00.000,19.1,70,18.96
187,2026-04-27T22:00:00.000,18,78,18.64
186,2026-04-27T22:00:00.000,18,78,18.5
185,2026-04-27T22:00:00.000,17.9,77,18.339999999999996
184,2026-04-27T22:00:00.000,18,78,18.2
188,2026-04-27T23:00:00.000,17.4,80,17.86
189,2026-04-27T23:00:00.000,17.4,80,17.74
190,2026-04-27T23:00:00.000,17.4,80,17.619999999999997
191,2026-04-27T23:00:00.000,17.3,80,17.499999999999996
194,2026-04-28T00:00:00.000,17.2,81,17.34
195,2026-04-28T00:00:00.000,16.9,83,17.24
192,2026-04-28T00:00:00.000,17.2,81,17.199999999999996
193,2026-04-28T00:00:00.000,17.2,81,17.16
196,2026-04-28T01:00:00.000,17.3,82,17.16
197,2026-04-28T01:00:00.000,17.3,82,17.18
198,2026-04-28T01:00:00.000,16.9,85,17.18
199,2026-04-28T01:00:00.000,17.3,82,17.2
203,2026-04-28T02:00:00.000,17.2,83,17.2
200,2026-04-28T02:00:00.000,17.2,83,17.18
201,2026-04-28T02:00:00.000,17.2,83,17.159999999999997
202,2026-04-28T02:00:00.000,16.9,86,17.16
206,2026-04-28T03:00:00.000,16.9,85,17.080000000000002
207,2026-04-28T03:00:00.000,16.8,86,17
204,2026-04-28T03:00:00.000,16.9,85,16.939999999999998
205,2026-04-28T03:00:00.000,16.9,85,16.880000000000003
208,2026-04-28T04:00:00.000,16.9,85,16.88
209,2026-04-28T04:00:00.000,16.9,85,16.880000000000003
210,2026-04-28T04:00:00.000,16.9,85,16.9
211,2026-04-28T04:00:00.000,16.9,87,16.9
214,2026-04-28T05:00:00.000,17.8,81,17.08
215,2026-04-28T05:00:00.000,17.8,81,17.259999999999998
212,2026-04-28T05:00:00.000,17.8,81,17.439999999999998
213,2026-04-28T05:00:00.000,17.7,83,17.6
216,2026-04-28T06:00:00.000,19.4,72,18.1
217,2026-04-28T06:00:00.000,19.4,72,18.419999999999998
218,2026-04-28T06:00:00.000,19.3,72,18.72
219,2026-04-28T06:00:00.000,19.4,72,19.04
223,2026-04-28T07:00:00.000,21.2,63,19.740000000000002
220,2026-04-28T07:00:00.000,21.3,63,20.119999999999997
221,2026-04-28T07:00:00.000,21.3,63,20.5
222,2026-04-28T07:00:00.000,21.3,63,20.9
226,2026-04-28T08:00:00.000,23.3,56,21.68
227,2026-04-28T08:00:00.000,23.3,56,22.1
224,2026-04-28T08:00:00.000,23.4,54,22.52
225,2026-04-28T08:00:00.000,23.3,56,22.92
228,2026-04-28T09:00:00.000,25.6,47,23.78
229,2026-04-28T09:00:00.000,25.4,48,24.2
230,2026-04-28T09:00:00.000,25.4,48,24.619999999999997
231,2026-04-28T09:00:00.000,25.4,48,25.02
232,2026-04-28T10:00:00.000,27.4,40,25.839999999999996
233,2026-04-28T10:00:00.000,27.4,40,26.2
234,2026-04-28T10:00:00.000,27.4,41,26.6
235,2026-04-28T10:00:00.000,27.4,40,27
239,2026-04-28T11:00:00.000,29.1,33,27.74
238,2026-04-28T11:00:00.000,29.1,33,28.080000000000002
237,2026-04-28T11:00:00.000,29.1,33,28.419999999999998
236,2026-04-28T11:00:00.000,28.7,35,28.68
240,2026-04-28T12:00:00.000,30.2,24,29.24
241,2026-04-28T12:00:00.000,30.2,24,29.46
242,2026-04-28T12:00:00.000,29.5,29,29.54
243,2026-04-28T12:00:00.000,30.2,24,29.76
244,2026-04-28T13:00:00.000,30.5,21,30.119999999999997
245,2026-04-28T13:00:00.000,30.1,23,30.1
246,2026-04-28T13:00:00.000,30.5,21,30.160000000000004
247,2026-04-28T13:00:00.000,30.5,21,30.360000000000003
250,2026-04-28T14:00:00.000,29.8,23,30.28
251,2026-04-28T14:00:00.000,29.8,23,30.140000000000004
249,2026-04-28T14:00:00.000,30.5,19,30.22
248,2026-04-28T14:00:00.000,29.8,23,30.080000000000002
252,2026-04-28T15:00:00.000,29.3,22,29.839999999999996
253,2026-04-28T15:00:00.000,29.1,24,29.7
254,2026-04-28T15:00:00.000,29.1,24,29.560000000000002
255,2026-04-28T15:00:00.000,29.1,24,29.28
258,2026-04-28T16:00:00.000,28,24,28.919999999999998
259,2026-04-28T16:00:00.000,28,24,28.660000000000004
256,2026-04-28T16:00:00.000,28.3,23,28.5
257,2026-04-28T16:00:00.000,28,24,28.28
260,2026-04-28T17:00:00.000,26.2,29,27.7
261,2026-04-28T17:00:00.000,26.2,30,27.339999999999996
262,2026-04-28T17:00:00.000,26.2,30,26.98
263,2026-04-28T17:00:00.000,26.2,30,26.559999999999995
267,2026-04-28T18:00:00.000,24.5,36,25.859999999999996
264,2026-04-28T18:00:00.000,24.5,36,25.52
265,2026-04-28T18:00:00.000,24.5,33,25.18
266,2026-04-28T18:00:00.000,24.5,36,24.839999999999996
271,2026-04-28T19:00:00.000,23,37,24.2
270,2026-04-28T19:00:00.000,22.7,45,23.84
268,2026-04-28T19:00:00.000,22.7,45,23.479999999999997
269,2026-04-28T19:00:00.000,22.7,45,23.12
272,2026-04-28T20:00:00.000,21.5,42,22.52
273,2026-04-28T20:00:00.000,21.3,51,22.18
274,2026-04-28T20:00:00.000,21.3,51,21.9
275,2026-04-28T20:00:00.000,21.3,51,21.619999999999997
279,2026-04-28T21:00:00.000,20.1,57,21.1
276,2026-04-28T21:00:00.000,20.1,57,20.82
277,2026-04-28T21:00:00.000,20.1,57,20.580000000000002
278,2026-04-28T21:00:00.000,20.2,48,20.360000000000003
280,2026-04-28T22:00:00.000,19.1,62,19.919999999999998
281,2026-04-28T22:00:00.000,19.3,54,19.76
282,2026-04-28T22:00:00.000,19.1,62,19.560000000000002
283,2026-04-28T22:00:00.000,19.1,62,19.360000000000003
286,2026-04-28T23:00:00.000,18.6,60,19.04
287,2026-04-28T23:00:00.000,18.3,67,18.880000000000003
284,2026-04-28T23:00:00.000,18.3,67,18.68
285,2026-04-28T23:00:00.000,18.3,67,18.520000000000003
291,2026-04-29T00:00:00.000,17.3,71,18.16
290,2026-04-29T00:00:00.000,17.3,71,17.9
289,2026-04-29T00:00:00.000,17.7,65,17.78
288,2026-04-29T00:00:00.000,17.3,71,17.58
292,2026-04-29T01:00:00.000,16.5,77,17.22
293,2026-04-29T01:00:00.000,16.5,77,17.06
294,2026-04-29T01:00:00.000,16.9,68,16.98
295,2026-04-29T01:00:00.000,16.5,77,16.740000000000002
296,2026-04-29T02:00:00.000,15.8,83,16.44
297,2026-04-29T02:00:00.000,15.8,83,16.3
298,2026-04-29T02:00:00.000,15.8,83,16.160000000000004
299,2026-04-29T02:00:00.000,16.2,73,16.02
300,2026-04-29T03:00:00.000,15.6,78,15.84
301,2026-04-29T03:00:00.000,15.2,88,15.719999999999999
302,2026-04-29T03:00:00.000,15.2,88,15.6
303,2026-04-29T03:00:00.000,15.2,88,15.479999999999999
307,2026-04-29T04:00:00.000,15.5,80,15.339999999999998
306,2026-04-29T04:00:00.000,15,92,15.219999999999999
305,2026-04-29T04:00:00.000,15,92,15.179999999999998
304,2026-04-29T04:00:00.000,15,92,15.14
308,2026-04-29T05:00:00.000,15.9,88,15.280000000000001
309,2026-04-29T05:00:00.000,15.9,88,15.36
310,2026-04-29T05:00:00.000,15.9,88,15.540000000000001
311,2026-04-29T05:00:00.000,16.9,75,15.919999999999998
312,2026-04-29T06:00:00.000,17.9,78,16.5
313,2026-04-29T06:00:00.000,17.9,78,16.9
314,2026-04-29T06:00:00.000,19.2,67,17.56
315,2026-04-29T06:00:00.000,17.9,78,17.959999999999997
316,2026-04-29T07:00:00.000,20.7,67,18.72
317,2026-04-29T07:00:00.000,20.7,67,19.279999999999998
318,2026-04-29T07:00:00.000,22,54,20.1
319,2026-04-29T07:00:00.000,20.7,67,20.4
322,2026-04-29T08:00:00.000,25,38,21.82
323,2026-04-29T08:00:00.000,23.8,46,22.44
320,2026-04-29T08:00:00.000,23.8,46,23.06
321,2026-04-29T08:00:00.000,23.8,46,23.419999999999998
326,2026-04-29T09:00:00.000,26.3,34,24.54
327,2026-04-29T09:00:00.000,26.3,34,24.8
324,2026-04-29T09:00:00.000,26.3,34,25.3
325,2026-04-29T09:00:00.000,27.4,28,26.02
330,2026-04-29T10:00:00.000,28.1,27,26.880000000000003
331,2026-04-29T10:00:00.000,29.1,24,27.439999999999998
328,2026-04-29T10:00:00.000,28.1,27,27.8
329,2026-04-29T10:00:00.000,28.1,27,28.160000000000004
334,2026-04-29T11:00:00.000,30,21,28.68
335,2026-04-29T11:00:00.000,29.2,22,28.9
332,2026-04-29T11:00:00.000,29.2,22,28.919999999999998
333,2026-04-29T11:00:00.000,29.2,22,29.139999999999997
336,2026-04-29T12:00:00.000,29.7,19,29.459999999999997
337,2026-04-29T12:00:00.000,29.7,19,29.4
338,2026-04-29T12:00:00.000,29.7,19,29.5
339,2026-04-29T12:00:00.000,30.4,21,29.74
340,2026-04-29T13:00:00.000,30.3,21,29.96
341,2026-04-29T13:00:00.000,29.9,16,30
342,2026-04-29T13:00:00.000,29.9,16,30.04
343,2026-04-29T13:00:00.000,29.9,16,30.080000000000002
347,2026-04-29T14:00:00.000,30,21,30
346,2026-04-29T14:00:00.000,29.6,15,29.860000000000003
344,2026-04-29T14:00:00.000,29.6,15,29.8
345,2026-04-29T14:00:00.000,29.6,15,29.74
348,2026-04-29T15:00:00.000,28.8,16,29.52
349,2026-04-29T15:00:00.000,28.8,16,29.28
350,2026-04-29T15:00:00.000,28.8,16,29.119999999999997
351,2026-04-29T15:00:00.000,29.3,22,29.060000000000002
352,2026-04-29T16:00:00.000,27.4,20,28.619999999999997
353,2026-04-29T16:00:00.000,27.4,20,28.339999999999996
354,2026-04-29T16:00:00.000,27.4,20,28.059999999999995
355,2026-04-29T16:00:00.000,28.2,26,27.939999999999998
359,2026-04-29T17:00:00.000,25.6,26,27.2
358,2026-04-29T17:00:00.000,25.6,26,26.839999999999996
356,2026-04-29T17:00:00.000,26.7,26,26.7
357,2026-04-29T17:00:00.000,25.6,26,26.339999999999996
360,2026-04-29T18:00:00.000,23.9,33,25.48
361,2026-04-29T18:00:00.000,23.9,33,25.139999999999997
362,2026-04-29T18:00:00.000,23.9,33,24.8
363,2026-04-29T18:00:00.000,25,30,24.46
367,2026-04-29T19:00:00.000,22.4,41,23.82
364,2026-04-29T19:00:00.000,22.4,41,23.52
365,2026-04-29T19:00:00.000,22.4,41,23.22
366,2026-04-29T19:00:00.000,23.6,34,23.16
371,2026-04-29T20:00:00.000,21.1,50,22.380000000000003
370,2026-04-29T20:00:00.000,21.1,50,22.119999999999997
368,2026-04-29T20:00:00.000,22.3,39,22.1
369,2026-04-29T20:00:00.000,21.1,50,21.84
374,2026-04-29T21:00:00.000,19.9,57,21.1
372,2026-04-29T21:00:00.000,19.9,57,20.860000000000003
373,2026-04-29T21:00:00.000,21.1,44,20.86
375,2026-04-29T21:00:00.000,19.9,57,20.380000000000003
379,2026-04-29T22:00:00.000,20.2,49,20.2
378,2026-04-29T22:00:00.000,19,61,20.02
376,2026-04-29T22:00:00.000,19,61,19.839999999999996
377,2026-04-29T22:00:00.000,19,61,19.419999999999998
380,2026-04-29T23:00:00.000,19.5,54,19.339999999999996
381,2026-04-29T23:00:00.000,18.2,64,18.94
382,2026-04-29T23:00:00.000,18.2,64,18.779999999999998
383,2026-04-29T23:00:00.000,18.2,64,18.62
384,2026-04-30T00:00:00.000,17.5,67,18.32
385,2026-04-30T00:00:00.000,17.5,67,17.919999999999998
386,2026-04-30T00:00:00.000,18.8,58,18.04
387,2026-04-30T00:00:00.000,17.5,67,17.9
391,2026-04-30T01:00:00.000,16.6,73,17.580000000000002
390,2026-04-30T01:00:00.000,16.6,73,17.4
388,2026-04-30T01:00:00.000,16.6,73,17.22
389,2026-04-30T01:00:00.000,18,62,17.060000000000002
392,2026-04-30T02:00:00.000,17.2,65,17
393,2026-04-30T02:00:00.000,15.8,79,16.840000000000003
394,2026-04-30T02:00:00.000,15.8,79,16.68
395,2026-04-30T02:00:00.000,15.8,79,16.520000000000003
398,2026-04-30T03:00:00.000,15.5,82,16.02
399,2026-04-30T03:00:00.000,15.5,82,15.680000000000001
397,2026-04-30T03:00:00.000,16.9,66,15.9
396,2026-04-30T03:00:00.000,15.5,82,15.84
400,2026-04-30T04:00:00.000,16.2,81,15.919999999999998
401,2026-04-30T04:00:00.000,17.5,66,16.32
402,2026-04-30T04:00:00.000,16.2,81,16.46
403,2026-04-30T04:00:00.000,16.2,81,16.32
404,2026-04-30T05:00:00.000,18.6,63,16.939999999999998
405,2026-04-30T05:00:00.000,17.4,76,17.18
406,2026-04-30T05:00:00.000,17.4,76,17.16
407,2026-04-30T05:00:00.000,17.4,76,17.4
411,2026-04-30T06:00:00.000,20.3,58,18.22
408,2026-04-30T06:00:00.000,19.2,68,18.34
409,2026-04-30T06:00:00.000,19.2,68,18.7
410,2026-04-30T06:00:00.000,19.2,68,19.06
414,2026-04-30T07:00:00.000,21.9,53,19.96
415,2026-04-30T07:00:00.000,22.9,47,20.479999999999997
412,2026-04-30T07:00:00.000,21.9,53,21.02
413,2026-04-30T07:00:00.000,21.9,53,21.56
419,2026-04-30T08:00:00.000,25,34,22.72
418,2026-04-30T08:00:00.000,25,34,23.339999999999996
417,2026-04-30T08:00:00.000,26.1,34,23.98
416,2026-04-30T08:00:00.000,25,34,24.6
420,2026-04-30T09:00:00.000,27.7,20,25.76
421,2026-04-30T09:00:00.000,28.6,23,26.48
422,2026-04-30T09:00:00.000,27.7,20,27.02
423,2026-04-30T09:00:00.000,27.7,20,27.339999999999996
426,2026-04-30T10:00:00.000,29.4,14,28.22
427,2026-04-30T10:00:00.000,29.4,14,28.560000000000002
424,2026-04-30T10:00:00.000,30.2,18,28.880000000000003
425,2026-04-30T10:00:00.000,29.4,14,29.22
428,2026-04-30T11:00:00.000,30.5,13,29.78
429,2026-04-30T11:00:00.000,31.2,16,30.139999999999997
430,2026-04-30T11:00:00.000,30.5,13,30.359999999999996
431,2026-04-30T11:00:00.000,30.5,13,30.419999999999998
432,2026-04-30T12:00:00.000,31.2,13,30.78
433,2026-04-30T12:00:00.000,31.8,15,31.04
434,2026-04-30T12:00:00.000,31.2,13,31.040000000000003
435,2026-04-30T12:00:00.000,31.2,13,31.18
439,2026-04-30T13:00:00.000,32.2,13,31.520000000000003
438,2026-04-30T13:00:00.000,31.4,12,31.560000000000002
437,2026-04-30T13:00:00.000,31.4,12,31.479999999999997
436,2026-04-30T13:00:00.000,31.4,12,31.52
440,2026-04-30T14:00:00.000,32.2,11,31.72
441,2026-04-30T14:00:00.000,31.1,11,31.5
442,2026-04-30T14:00:00.000,31.1,11,31.439999999999998
443,2026-04-30T14:00:00.000,31.1,11,31.380000000000003
446,2026-04-30T15:00:00.000,30.4,11,31.18
447,2026-04-30T15:00:00.000,30.4,11,30.820000000000004
444,2026-04-30T15:00:00.000,30.4,11,30.68
445,2026-04-30T15:00:00.000,31.7,11,30.8
448,2026-04-30T16:00:00.000,29.1,12,30.4
449,2026-04-30T16:00:00.000,29.1,12,30.139999999999997
450,2026-04-30T16:00:00.000,29.1,12,29.880000000000003
451,2026-04-30T16:00:00.000,30.4,13,29.880000000000003
455,2026-04-30T17:00:00.000,28.5,18,29.240000000000002
452,2026-04-30T17:00:00.000,27.4,14,28.9
453,2026-04-30T17:00:00.000,27.4,14,28.560000000000002
454,2026-04-30T17:00:00.000,27.4,14,28.22
458,2026-04-30T18:00:00.000,25.7,19,27.28
459,2026-04-30T18:00:00.000,26.7,23,26.919999999999998
456,2026-04-30T18:00:00.000,25.7,19,26.579999999999995
457,2026-04-30T18:00:00.000,25.7,19,26.24
460,2026-04-30T19:00:00.000,25.2,30,25.8
461,2026-04-30T19:00:00.000,24,31,25.46
462,2026-04-30T19:00:00.000,24,31,24.919999999999998
463,2026-04-30T19:00:00.000,24,31,24.580000000000002
466,2026-04-30T20:00:00.000,23.7,39,24.18
467,2026-04-30T20:00:00.000,22.3,48,23.6
464,2026-04-30T20:00:00.000,22.3,48,23.259999999999998
465,2026-04-30T20:00:00.000,22.3,48,22.92
468,2026-04-30T21:00:00.000,22.5,45,22.619999999999997
469,2026-04-30T21:00:00.000,20.9,60,22.060000000000002
470,2026-04-30T21:00:00.000,20.9,60,21.779999999999998
471,2026-04-30T21:00:00.000,20.9,60,21.5
475,2026-04-30T22:00:00.000,21.5,48,21.339999999999996
472,2026-04-30T22:00:00.000,19.9,65,20.82
473,2026-04-30T22:00:00.000,19.9,65,20.619999999999997
474,2026-04-30T22:00:00.000,19.9,65,20.419999999999998
478,2026-04-30T23:00:00.000,20.7,48,20.38
479,2026-04-30T23:00:00.000,19.3,67,19.94
476,2026-04-30T23:00:00.000,19.3,67,19.82
477,2026-04-30T23:00:00.000,19.3,67,19.7
480,2026-05-01T00:00:00.000,18.7,68,19.46
481,2026-05-01T00:00:00.000,20.1,49,19.34
482,2026-05-01T00:00:00.000,18.7,68,19.22
483,2026-05-01T00:00:00.000,18.7,68,19.1
484,2026-05-01T01:00:00.000,19.5,51,19.139999999999997
485,2026-05-01T01:00:00.000,18,71,19
486,2026-05-01T01:00:00.000,18,71,18.58
487,2026-05-01T01:00:00.000,18,71,18.439999999999998
491,2026-05-01T02:00:00.000,19.1,52,18.520000000000003
490,2026-05-01T02:00:00.000,17.3,75,18.080000000000002
489,2026-05-01T02:00:00.000,17.3,75,17.94
488,2026-05-01T02:00:00.000,17.3,75,17.8
492,2026-05-01T03:00:00.000,17.2,75,17.64
